ReportingArea,Region,Year,Brucellosis,Campylobacteriosis,Chancroid,Chlamydia trachomatis infection,Cholera,Coccidioidomycosis,"Cryptosporidiosis, Total","Cryptosporidiosis, Confirmed","Cryptosporidiosis, Probable",Cyclosporiasis,"Dengue virus infections, Dengue","Dengue virus infections, Dengue-like illness","Dengue virus infections, Severe dengue",Diphtheria,"Ehrlichiosis and Anaplasmosis, Anaplasma phagocytophilum infection","Ehrlichiosis and Anaplasmosis, Ehrlichia chaffeensis infection","Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection","Ehrlichiosis and Anaplasmosis, Undetermined ehrlichiosis/anaplasmosis",Listeriosis,"Lyme disease, Total","Lyme disease, Confirmed","Lyme disease, Probable",Malaria,"Measles, Total","Measles, Indigenous","Measles, Imported","Candida auris, clinical",Carbapenemase-producing carbapenem-resistant Enterobacteriaceae,"Listeriosis, Total","Listeriosis, Confirmed","Listeriosis, Probable"
United States,OTHER,2016,127,60120,7,1598354,15,11829,13453,8637,4816,537,903,40,10,NA,4151,1377,22,200,786,36429,26203,10226,1955,85,68,17,NA,NA,NA,NA,NA
New England,OTHER,2016,2,2928,1,54967,2,4,457,395,62,51,24,3,NA,NA,1708,70,NA,7,56,5988,4249,1739,145,2,NA,2,NA,NA,NA,NA,NA
Connecticut,EAST,2016,2,652,NA,13911,NA,NA,63,63,NA,23,4,2,NA,NA,103,1,NA,NA,14,1748,1238,510,13,1,NA,1,NA,NA,NA,NA,NA
Maine,EAST,2016,NA,255,NA,4156,NA,NA,55,49,6,3,1,1,NA,NA,372,7,NA,4,11,1487,1151,336,10,NA,NA,NA,NA,NA,NA,NA,NA
Massachusetts,EAST,2016,NA,1369,1,26807,2,NA,198,197,1,23,8,NA,NA,NA,838,10,NA,NA,20,198,146,52,93,1,NA,1,NA,NA,NA,NA,NA
New Hampshire,EAST,2016,NA,222,NA,3467,NA,3,53,39,14,2,3,NA,NA,NA,54,6,NA,NA,2,891,691,200,14,NA,NA,NA,NA,NA,NA,NA,NA
Rhode Island,EAST,2016,NA,215,NA,4936,NA,1,18,15,3,NA,5,NA,NA,NA,140,43,NA,NA,5,903,535,368,9,NA,NA,NA,NA,NA,NA,NA,NA
Vermont,EAST,2016,NA,215,NA,1690,NA,NA,70,32,38,NA,3,NA,NA,NA,201,3,NA,3,4,761,488,273,6,NA,NA,NA,NA,NA,NA,NA,NA
Middle Atlantic,OTHER,2016,10,7820,NA,200882,3,NA,1200,918,282,103,203,3,4,NA,942,251,2,43,159,19675,14943,4732,480,1,NA,1,NA,NA,NA,NA,NA
New Jersey,EAST,2016,1,1907,NA,34519,NA,NA,198,113,85,29,43,3,4,NA,109,75,1,8,35,4350,3332,1018,84,NA,NA,NA,NA,NA,NA,NA,NA
New York (excluding New York City),OTHER,2016,5,1881,NA,42801,1,NA,342,334,8,24,46,NA,NA,NA,733,156,NA,19,49,2936,2104,832,75,NA,NA,NA,NA,NA,NA,NA,NA
New York City,OTHER,2016,2,1691,NA,66632,2,NA,193,193,NA,50,93,NA,NA,NA,42,13,1,NA,25,946,519,427,244,1,NA,1,NA,NA,NA,NA,NA
Pennsylvania,EAST,2016,2,2341,NA,56930,NA,NA,467,278,189,NA,21,NA,NA,NA,58,7,NA,16,50,11443,8988,2455,77,NA,NA,NA,NA,NA,NA,NA,NA
East North Central,OTHER,2016,11,8324,NA,236374,NA,67,3797,2130,1667,40,67,5,1,NA,635,74,2,76,113,3065,2145,920,202,4,2,2,NA,NA,NA,NA,NA
Illinois,MIDWEST,2016,3,2001,NA,72201,NA,NA,335,180,155,23,32,3,NA,NA,8,31,1,NA,30,237,233,4,62,2,1,1,NA,NA,NA,NA,NA
Indiana,MIDWEST,2016,NA,1043,NA,30847,NA,1,213,132,81,3,8,NA,1,NA,NA,NA,NA,24,15,152,127,25,17,1,1,NA,NA,NA,NA,NA,NA
Michigan,MIDWEST,2016,2,1631,NA,45936,NA,32,434,350,84,3,15,1,NA,NA,6,8,NA,NA,18,221,159,62,43,1,NA,1,NA,NA,NA,NA,NA
Ohio,MIDWEST,2016,3,2011,NA,60496,NA,21,1941,1096,845,6,5,1,NA,NA,6,8,NA,NA,34,160,122,38,60,NA,NA,NA,NA,NA,NA,NA,NA
Wisconsin,MIDWEST,2016,3,1638,NA,26894,NA,13,874,372,502,5,7,NA,NA,NA,615,27,1,52,16,2295,1504,791,20,NA,NA,NA,NA,NA,NA,NA,NA
West North Central,OTHER,2016,11,5944,NA,94654,1,98,2223,1447,776,64,61,3,NA,NA,770,293,9,49,22,2464,1424,1040,138,2,NA,2,NA,NA,NA,NA,NA
Iowa,MIDWEST,2016,1,1053,NA,12983,NA,NA,753,384,369,14,8,3,NA,NA,8,4,NA,2,3,232,76,156,22,NA,NA,NA,NA,NA,NA,NA,NA
Kansas,MIDWEST,2016,2,767,NA,12160,NA,NA,133,100,33,10,4,NA,NA,NA,4,51,1,1,6,39,16,23,11,NA,NA,NA,NA,NA,NA,NA,NA
Minnesota,MIDWEST,2016,4,1515,NA,22685,1,62,464,416,48,4,29,NA,NA,NA,732,6,NA,35,8,2126,1304,822,67,2,NA,2,NA,NA,NA,NA,NA
Missouri,MIDWEST,2016,1,1371,NA,30843,NA,20,420,279,141,23,13,NA,NA,NA,13,223,8,8,3,10,1,9,20,NA,NA,NA,NA,NA,NA,NA,NA
Nebraska,MIDWEST,2016,2,599,NA,8197,NA,5,258,207,51,10,3,NA,NA,NA,2,7,NA,NA,2,14,10,4,7,NA,NA,NA,NA,NA,NA,NA,NA
North Dakota,MIDWEST,2016,1,192,NA,3455,NA,6,37,24,13,NA,2,NA,NA,NA,10,2,NA,3,NA,32,9,23,7,NA,NA,NA,NA,NA,NA,NA,NA
South Dakota,MIDWEST,2016,NA,447,NA,4331,NA,5,158,37,121,3,2,NA,NA,NA,1,NA,NA,NA,NA,11,8,3,4,NA,NA,NA,NA,NA,NA,NA,NA
South Atlantic,OTHER,2016,5,9120,2,331496,5,8,1800,1155,645,79,145,16,1,NA,51,254,1,11,158,4736,3197,1539,473,8,5,3,NA,NA,NA,NA,NA
Delaware,EAST,2016,NA,172,NA,5365,NA,2,24,14,10,NA,2,NA,NA,NA,4,14,1,1,2,506,391,115,16,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,OTHER,2016,NA,65,NA,7283,NA,NA,21,20,1,1,NA,9,NA,NA,2,4,NA,NA,1,103,66,37,23,NA,NA,NA,NA,NA,NA,NA,NA
Florida,SOUTHEAST,2016,2,3262,NA,94742,NA,NA,582,217,365,37,65,1,NA,NA,6,28,NA,NA,43,216,132,84,62,5,5,NA,NA,NA,NA,NA,NA
Georgia,SOUTHEAST,2016,NA,968,NA,62776,1,NA,364,364,NA,14,20,NA,NA,NA,NA,12,NA,2,21,4,4,NA,57,1,NA,1,NA,NA,NA,NA,NA
Maryland,EAST,2016,NA,821,NA,30658,2,6,117,70,47,6,13,NA,NA,NA,7,36,NA,1,23,1866,1274,592,180,1,NA,1,NA,NA,NA,NA,NA
North Carolina,EAST,2016,NA,1458,1,58006,NA,NA,293,251,42,7,12,1,NA,NA,16,61,NA,NA,23,272,32,240,46,1,NA,1,NA,NA,NA,NA,NA
South Carolina,SOUTHEAST,2016,2,398,1,28179,NA,NA,111,80,31,NA,6,4,1,NA,NA,NA,NA,1,17,51,25,26,14,NA,NA,NA,NA,NA,NA,NA,NA
