ReportingArea,Region,Year,Campylobacteriosis,"Cryptosporidiosis, Total","Lyme disease, Total","Dengue virus infections, Dengue",Malaria,Cyclosporiasis
United States,OTHER,2016,60120,13453,36429,903,1955,537
New England,OTHER,2016,2928,457,5988,24,145,51
Connecticut,EAST,2016,652,63,1748,4,13,23
Maine,EAST,2016,255,55,1487,1,10,3
Massachusetts,EAST,2016,1369,198,198,8,93,23
New Hampshire,EAST,2016,222,53,891,3,14,2
Rhode Island,EAST,2016,215,18,903,5,9,NA
Vermont,EAST,2016,215,70,761,3,6,NA
Middle Atlantic,OTHER,2016,7820,1200,19675,203,480,103
New Jersey,EAST,2016,1907,198,4350,43,84,29
New York (excluding New York City),OTHER,2016,1881,342,2936,46,75,24
New York City,OTHER,2016,1691,193,946,93,244,50
Pennsylvania,EAST,2016,2341,467,11443,21,77,NA
East North Central,OTHER,2016,8324,3797,3065,67,202,40
Illinois,MIDWEST,2016,2001,335,237,32,62,23
Indiana,MIDWEST,2016,1043,213,152,8,17,3
Michigan,MIDWEST,2016,1631,434,221,15,43,3
Ohio,MIDWEST,2016,2011,1941,160,5,60,6
Wisconsin,MIDWEST,2016,1638,874,2295,7,20,5
West North Central,OTHER,2016,5944,2223,2464,61,138,64
Iowa,MIDWEST,2016,1053,753,232,8,22,14
Kansas,MIDWEST,2016,767,133,39,4,11,10
Minnesota,MIDWEST,2016,1515,464,2126,29,67,4
Missouri,MIDWEST,2016,1371,420,10,13,20,23
Nebraska,MIDWEST,2016,599,258,14,3,7,10
North Dakota,MIDWEST,2016,192,37,32,2,7,NA
South Dakota,MIDWEST,2016,447,158,11,2,4,3
South Atlantic,OTHER,2016,9120,1800,4736,145,473,79
Delaware,EAST,2016,172,24,506,2,16,NA
District of Columbia,OTHER,2016,65,21,103,NA,23,1
Florida,SOUTHEAST,2016,3262,582,216,65,62,37
Georgia,SOUTHEAST,2016,968,364,4,20,57,14
Maryland,EAST,2016,821,117,1866,13,180,6
North Carolina,EAST,2016,1458,293,272,12,46,7
South Carolina,SOUTHEAST,2016,398,111,51,6,14,NA
Virginia,EAST,2016,1580,244,1350,27,74,11
West Virginia,EAST,2016,396,44,368,NA,1,3
East South Central,OTHER,2016,2484,687,97,15,55,3
Alabama,SOUTHEAST,2016,692,334,38,6,11,NA
Kentucky,EAST,2016,779,139,33,NA,13,2
Mississippi,SOUTHEAST,2016,268,47,1,NA,7,NA
Tennessee,EAST,2016,745,167,25,9,24,1
West South Central,OTHER,2016,6938,1163,80,56,183,154
Arkansas,SOUTHEAST,2016,528,76,2,3,5,2
Louisiana,SOUTHEAST,2016,580,129,7,6,12,4
Oklahoma,SOUTHWEST,2016,1163,223,NA,5,7,NA
Texas,SOUTHWEST,2016,4667,735,71,42,159,148
Mountain,OTHER,2016,4571,1219,83,53,88,16
Arizona,SOUTHWEST,2016,1241,549,13,13,38,4
Colorado,NORTHWEST,2016,1101,206,NA,20,25,8
Idaho,NORTHWEST,2016,456,123,17,3,NA,NA
Montana,NORTHWEST,2016,373,62,17,2,4,NA
Nevada,NORTHWEST,2016,208,15,15,4,7,NA
New Mexico,SOUTHWEST,2016,527,74,1,5,2,1
Utah,NORTHWEST,2016,502,169,19,6,8,2
Wyoming,NORTHWEST,2016,163,21,1,NA,4,1
Pacific,OTHER,2016,11991,907,241,279,191,27
Alaska,OTHER,2016,117,10,15,4,2,2
California,CALIFORNIA,2016,8465,429,134,197,125,21
Hawaii,OTHER,2016,508,12,NA,54,NA,NA
Oregon,NORTHWEST,2016,990,325,61,4,20,1
Washington,NORTHWEST,2016,1911,131,31,20,44,3
Territories,OTHER,2016,52,1,NA,131,3,NA
American Samoa,OTHER,2016,NA,NA,NA,2,NA,NA
Commonwealth of Northern Mariana Islands,OTHER,2016,NA,NA,NA,NA,NA,NA
Guam,OTHER,2016,8,NA,NA,1,NA,NA
Puerto Rico,OTHER,2016,44,1,NA,117,3,NA
U.S. Virgin Islands,OTHER,2016,NA,NA,NA,11,NA,NA
New York,EAST,2016,3572,535,3882,139,319,74
United States,OTHER,2017,67537,11414,42743,437,2056,1194
New England,OTHER,2017,3020,426,7916,12,157,67
Connecticut,EAST,2017,657,72,2051,6,20,33
Maine,EAST,2017,234,45,1850,NA,18,NA
Massachusetts,EAST,2017,1399,154,410,5,95,25
New Hampshire,EAST,2017,277,72,1381,NA,8,4
Rhode Island,EAST,2017,278,33,1132,1,13,5
Vermont,EAST,2017,175,50,1092,NA,3,NA
Middle Atlantic,OTHER,2017,8622,979,22147,65,521,138
New Jersey,EAST,2017,1875,135,5092,24,125,53
New York (excluding New York City),OTHER,2017,2072,276,4072,6,67,24
New York City,OTHER,2017,2108,163,1083,32,226,61
Pennsylvania,EAST,2017,2567,405,11900,3,103,NA
East North Central,OTHER,2017,9033,2356,3976,52,195,135
Illinois,MIDWEST,2017,2365,335,273,17,60,47
Indiana,MIDWEST,2017,1147,223,142,3,18,4
Michigan,MIDWEST,2017,1731,422,291,9,44,38
Ohio,MIDWEST,2017,2085,649,270,5,63,23
Wisconsin,MIDWEST,2017,1705,727,3000,18,10,23
West North Central,OTHER,2017,6127,1887,2707,19,156,97
Iowa,MIDWEST,2017,1154,538,255,4,19,29
Kansas,MIDWEST,2017,734,128,40,2,17,7
Minnesota,MIDWEST,2017,1552,481,2318,11,67,23
Missouri,MIDWEST,2017,1480,332,12,1,27,25
Nebraska,MIDWEST,2017,586,203,14,1,7,9
North Dakota,MIDWEST,2017,226,42,56,NA,11,NA
South Dakota,MIDWEST,2017,395,163,12,NA,8,4
South Atlantic,OTHER,2017,10897,1699,5422,49,544,276
Delaware,EAST,2017,203,36,608,1,10,1
District of Columbia,OTHER,2017,78,43,84,5,20,4
Florida,SOUTHEAST,2017,4318,556,210,16,58,113
Georgia,SOUTHEAST,2017,1177,349,8,5,77,22
Maryland,EAST,2017,886,100,1891,9,238,37
North Carolina,EAST,2017,1824,211,295,3,47,63
South Carolina,SOUTHEAST,2017,441,112,21,NA,NA,14
Virginia,EAST,2017,1531,239,1657,10,92,18
West Virginia,EAST,2017,439,53,648,NA,2,4
East South Central,OTHER,2017,3021,548,109,6,40,6
Alabama,SOUTHEAST,2017,789,189,41,NA,8,NA
Kentucky,EAST,2017,821,91,20,1,11,NA
Mississippi,SOUTHEAST,2017,486,62,1,2,6,NA
Tennessee,EAST,2017,925,206,47,3,15,6
West South Central,OTHER,2017,8141,1625,77,42,175,343
Arkansas,SOUTHEAST,2017,626,131,6,NA,3,2
Louisiana,SOUTHEAST,2017,824,145,12,1,9,22
Oklahoma,SOUTHWEST,2017,1243,197,1,1,11,NA
Texas,SOUTHWEST,2017,5448,1152,58,40,152,319
Mountain,OTHER,2017,5232,789,113,14,81,61
Arizona,SOUTHWEST,2017,1372,112,28,3,26,8
